Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-31 10:50:56.056 +0100,"Failure",0:00:18,1,0,1,"20160531_105056.056/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Wunderlist icon""",0
2016-05-31 10:51:45.045 +0100,"Running",0:00:00,0,0,0,"20160531_105145.045/LogFile.txt","","",0
2016-05-31 10:53:47.047 +0100,"Success",0:00:02,0,0,0,"20160531_105347.047/LogFile.txt","","",1
2016-05-31 10:54:09.009 +0100,"Success",0:00:04,0,0,0,"20160531_105409.009/LogFile.txt","","",1
2016-05-31 10:55:01.001 +0100,"Failure",0:00:56,1,0,1,"20160531_105501.001/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""Wunderlist icon/Wunderlist icon.png""",0
2016-05-31 10:56:13.013 +0100,"Success",0:00:01,0,0,0,"20160531_105613.013/LogFile.txt","","",1
2016-05-31 10:56:29.029 +0100,"Failure",0:00:56,1,0,1,"20160531_105629.029/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""Wunderlist icon,Wunderlist icon/Wunderlist icon2.png""",0
2016-05-31 10:57:50.050 +0100,"Success",0:00:02,0,0,0,"20160531_105750.050/LogFile.txt","","",1
2016-05-31 11:04:50.050 +0100,"Success",0:00:01,0,0,0,"20160531_110450.050/LogFile.txt","","",1
2016-05-31 11:05:12.012 +0100,"Failure",0:00:14,1,0,1,"20160531_110512.012/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""maximise button""",0
2016-05-31 11:18:25.025 +0100,"Success",0:00:03,0,0,0,"20160531_111825.025/LogFile.txt","","",1
2016-05-31 19:10:01.001 +0100,"Success",0:00:01,0,0,0,"20160531_191001.001/LogFile.txt","","",1
